Food,Category,Price,Calories,Protein,Type,DataSource
Onion,Vegetable,38.36,45.0,1.0,Veg,Blinkit price + Nutrition-file macros
Tomato,Vegetable,32.45,25.0,1.0,Veg,Blinkit price + Nutrition-file macros
Potato,Vegetable,17.55,110.0,3.0,Veg,Blinkit price + Nutrition-file macros
Carrot,Vegetable,16.09,30.0,1.0,Veg,Blinkit price + Nutrition-file macros
Cucumber,Vegetable,22.27,10.0,1.0,Veg,Blinkit price + Nutrition-file macros
Cabbage,Vegetable,17.27,25.0,1.0,Veg,Blinkit price + Nutrition-file macros
Mushroom,Vegetable,38.91,20.0,3.0,Veg,Blinkit price + Nutrition-file macros
Cauliflower,Vegetable,22.82,25.0,2.0,Veg,Blinkit price + Nutrition-file macros
Lettuce,Vegetable,37.0,10.0,1.0,Veg,Blinkit price + Nutrition-file macros
GreenBeans,Vegetable,19.55,20.0,1.0,Veg,Blinkit price + Nutrition-file macros
Broccoli,Vegetable,60.0,45.0,4.0,Veg,Manual price (est.) + Nutrition-file macros
Bell Pepper,Vegetable,50.0,25.0,1.0,Veg,Manual price (est.) + Nutrition-file macros
Sweet Potato,Vegetable,55.0,100.0,2.0,Veg,Manual price (est.) + Nutrition-file macros
Sweet Corn,Vegetable,40.0,90.0,4.0,Veg,Manual price (est.) + Nutrition-file macros
Celery,Vegetable,45.0,15.0,0.0,Veg,Manual price (est.) + Nutrition-file macros
Apple,Fruit,120.0,130.0,1.0,Veg,Manual price (est.) + Nutrition-file macros
Banana,Fruit,40.0,110.0,1.0,Veg,Manual price (est.) + Nutrition-file macros
Orange,Fruit,60.0,80.0,1.0,Veg,Manual price (est.) + Nutrition-file macros
Watermelon,Fruit,35.0,80.0,1.0,Veg,Manual price (est.) + Nutrition-file macros
Grapes,Fruit,90.0,90.0,0.0,Veg,Manual price (est.) + Nutrition-file macros
Salmon,Protein,450.0,165.0,23.0,Non-Veg,Manual price (est.) + Nutrition-file macros
Tilapia,Protein,220.0,110.0,22.0,Non-Veg,Manual price (est.) + Nutrition-file macros
Shrimp,Protein,380.0,100.0,21.0,Non-Veg,Manual price (est.) + Nutrition-file macros
Chicken Breast,Protein,314.73,165.0,31.0,Non-Veg,Blinkit price + Standard reference macros
Fish (Basa),Protein,278.0,97.0,18.0,Non-Veg,Blinkit price + Standard reference macros
Eggs (6 pcs),Protein,45.0,372.0,33.0,Non-Veg,Manual price (est.) + Standard reference macros
Lentils (Dal),Protein,90.0,116.0,9.0,Veg,Fully manual (not in either dataset)
Chickpeas,Protein,100.0,164.0,8.9,Veg,Fully manual (not in either dataset)
Soybean Chunks,Protein,80.0,345.0,52.0,Veg,Fully manual (not in either dataset)
Peanut Butter,Protein,180.0,588.0,25.0,Veg,Fully manual (not in either dataset)
Almonds,Protein,450.0,579.0,21.2,Veg,Fully manual (not in either dataset)
Wheat Flour (Atta),Grains,284.0,340.0,12.0,Veg,Blinkit price + Standard reference macros
Rice,Grains,60.0,130.0,2.7,Veg,Fully manual (not in either dataset)
Oats,Grains,120.0,389.0,16.9,Veg,Fully manual (not in either dataset)
Bread,Grains,45.0,265.0,9.0,Veg,Fully manual (not in either dataset)
Milk,Dairy,27.0,42.0,3.4,Veg,Blinkit price + Standard reference macros
Paneer,Dairy,90.0,265.0,18.3,Veg,Fully manual (not in either dataset)
Yogurt (Curd),Dairy,40.0,60.0,3.5,Veg,Fully manual (not in either dataset)
Butter,Dairy,55.0,717.0,0.9,Veg,Fully manual (not in either dataset)
Cooking Oil,Other,321.7,884.0,0.0,Veg,Blinkit price + Standard reference macros
Tea,Other,397.64,1.0,0.0,Veg,Blinkit price + Standard reference macros
Sugar,Other,45.0,387.0,0.0,Veg,Fully manual (not in either dataset)
