Week,Date,Apple,Arhar,Atta,Bajra,Banana,Besan,Biscuit,BlackPepper,Bread,Brinjal,Butter,Chicken,Coconut,CoconutOil,Coffee,Coriander,CumminSeed,Eggs,Fish,Ghee,GingellyOil,Gram,GroundnutOil,Gur,Jowar,Maida,Maize,Masur,Meat,Milk,Moong,MustardOil,Onion,Potato,Ragi,RedChillies,Rice,Salt,Sugar,Suji,Tea,Tomato,Turmeric,Urad,Vanaspati,Wheat
1,2014-06-23,112.21,77.61,25.51,20.92,40.07,57.54,6.8,719.13,21.82,30.76,40.02,158.06,72.73,183.25,824.09,21.68,221.01,54.08,217.0,407.0,178.4,49.66,118.31,46.36,26.54,28.45,25.64,72.09,388.48,39.14,96.63,102.23,30.08,29.81,28.21,21.1,43.43,12.41,37.0,32.4,159.92,41.08,20.57,81.6,80.8,23.9
2,2014-06-30,111.77,79.4,26.25,21.36,41.24,60.92,6.71,723.24,22.77,30.69,39.17,161.3,71.73,182.91,821.04,21.93,222.38,54.27,214.36,405.65,172.62,50.74,115.54,46.52,27.05,28.46,26.29,73.09,388.56,38.84,96.82,105.26,29.08,29.6,27.59,20.53,42.78,12.08,37.14,33.23,160.82,41.96,20.9,83.36,82.01,23.7
3,2014-07-07,113.67,79.12,25.71,21.5,41.83,60.07,6.75,734.67,22.13,29.34,39.77,164.01,72.28,184.12,825.5,22.06,223.07,53.95,223.44,405.44,180.12,50.56,117.03,47.27,26.98,28.64,26.3,72.32,401.35,39.28,96.51,104.49,30.63,31.46,27.33,21.79,42.85,12.81,36.97,33.2,167.53,42.67,20.9,81.52,79.94,23.96
4,2014-07-14,115.71,78.37,25.57,21.53,41.73,59.34,6.99,730.55,21.81,32.23,39.97,159.06,72.71,180.27,838.0,21.84,228.01,55.45,225.23,414.18,178.53,52.1,120.59,47.44,26.81,28.36,26.66,73.58,384.77,38.94,95.98,104.8,31.82,32.06,28.02,21.43,43.07,12.26,37.89,32.61,164.92,43.6,21.22,82.86,84.21,24.02
5,2014-07-21,113.33,78.93,25.63,21.38,42.08,61.76,6.78,748.52,22.22,32.14,39.83,161.54,74.28,183.67,854.79,22.15,227.13,55.48,216.42,410.88,181.86,52.47,118.17,47.6,27.54,28.37,25.86,74.49,397.59,40.0,96.33,104.7,33.6,31.92,28.48,20.75,44.04,12.73,36.57,33.1,169.69,42.78,20.61,83.31,82.76,23.97
6,2014-07-28,113.84,78.17,26.57,21.43,41.18,62.82,7.1,759.8,21.78,31.87,39.5,162.73,73.85,184.05,862.21,22.14,227.36,55.97,227.04,427.08,182.84,52.38,119.58,48.49,26.19,29.3,26.2,73.16,387.56,40.75,97.78,105.3,32.7,32.2,29.8,21.16,43.91,12.42,37.45,32.87,163.28,45.9,21.67,82.44,83.34,23.81
7,2014-08-04,117.32,79.65,25.95,21.72,40.93,61.74,6.87,739.53,22.43,32.21,40.65,160.38,75.41,183.07,848.17,22.46,223.22,55.4,222.26,410.16,185.76,52.19,123.42,48.39,28.04,28.67,26.72,75.06,397.99,39.66,96.51,107.47,33.16,32.1,29.07,21.72,44.03,12.54,37.61,34.14,164.92,43.76,21.4,83.81,83.01,24.18
8,2014-08-11,116.39,79.65,27.2,22.17,42.84,62.96,7.05,750.36,22.27,33.12,40.57,165.64,72.1,187.55,843.28,22.43,226.87,56.17,228.61,428.72,185.74,52.0,121.1,48.27,26.66,29.1,26.67,74.5,404.54,40.09,94.73,105.38,32.08,29.8,28.21,21.92,44.51,12.85,37.09,33.82,162.51,43.67,21.73,82.12,83.47,24.65
9,2014-08-18,114.7,80.62,25.81,22.04,41.84,63.77,6.98,754.76,22.92,33.69,41.02,162.98,74.55,185.88,863.7,22.2,231.69,55.49,226.43,420.13,186.3,51.46,120.37,48.73,27.17,29.13,27.16,75.78,388.79,40.88,98.35,109.35,32.57,31.09,28.78,21.23,42.83,12.93,38.91,33.45,164.27,41.88,21.63,87.27,83.54,24.22
10,2014-08-25,116.69,79.53,27.32,21.81,41.97,63.69,7.09,755.65,22.51,32.11,40.51,164.62,74.5,189.73,852.61,23.45,229.32,57.64,227.46,423.79,187.03,53.97,120.5,48.0,27.48,29.75,26.78,74.6,400.95,41.41,96.29,107.33,32.95,29.37,29.14,21.91,44.44,12.54,37.41,33.55,171.19,40.58,21.41,84.04,85.18,24.75
